"Уникальное слово";"Встречается раз";"Пример ключевой фразы"
"окна";158;"окна металлопластиковые"
"пластиковые";78;"металлопластиковые окна пластиковые окна"
"пвх";33;"окна пвх"
"металлопластиковые";31;"окна металлопластиковые"
"двери";29;"окна и двери"
"окон";28;"производство окон пвх"
"цены";21;"окна цены"
"цена";19;"окна металлопластиковые цена"
"пластиковых";17;"продажа пластиковых окон"
"винница";16;"металлопластиковые окна винница"
"купить";12;"купить металлопластиковые окна"
"расчет";11;"расчет окон"
"заказать";8;"заказать металлопластиковые окна"
"стоимость";7;"металлопластиковые окна стоимость"
"стоимости";6;"окна расчет стоимости"
"заказ";6;"окна на заказ"
"дешево";6;"окна дешево"
"лучшие";6;"лучшие окна"
"дешевые";6;"дешевые окна"
"установка";6;"установка окон пвх"
"евроокна";5;"евроокна"
"продажа";5;"продажа окон"
"окно";4;"пластиковое окно"
"калькулятор";4;"металлопластиковые окна калькулятор"
"металопластиковые";4;"металопластиковые двери"
"виннице";4;"металлопластиковые окна в виннице"
"выбрать";4;"выбрать металлопластиковые окна"
"пластиковое";4;"пластиковое окно"
"прайс";3;"металлопластиковые окна прайс"
"veka";3;"окна veka"
"стеклопакеты";3;"окна стеклопакеты"
"скидки";3;"окна пвх скидки"
"металлопластиковых";3;"расчет металлопластиковых окон"
"самые";2;"самые дешевые окна"
"сколько";2;"сколько стоят пластиковые окна"
"где";2;"где купить пластиковые окна"
"как";2;"как выбрать металлопластиковые окна"
"производство";2;"производство окон пвх"
"века";2;"металлопластиковые окна века"
"рассчитать";2;"рассчитать стоимость пластикового окна"
"какие";2;"какие пластиковые окна"
"выбор";2;"выбор металлопластиковых окон"
"недорого";2;"окна недорого"
"изготовление";2;"изготовление пластиковых окон"
"корса";2;"окна корса"
"качественные";2;"качественные окна"
"современные";2;"современные окна"
"элитные";2;"элитные окна"
"немецкие";2;"немецкие окна"
"поливинил";1;"поливинил хлоридные двери"
"теплые";1;"теплые окна"
"пластикового";1;"рассчитать стоимость пластикового окна"
"стоит";1;"сколько стоит пластиковое окно"
"замена";1;"замена пластиковых окон"
"входные";1;"пластиковые двери входные"
"окнами";1;"остекление пластиковыми окнами"
"завод";1;"завод пластиковых окон"
"блиц";1;"окна блиц винница"
"готовые";1;"окна пвх готовые"
"межкомнатные";1;"пластиковые межкомнатные двери"
"раздвижные";1;"раздвижные пластиковые двери"
"евро";1;"евро окна"
"куплю";1;"куплю пластиковые окна"
"поставить";1;"поставить пластиковые окна"
"остекление";1;"остекление пластиковыми окнами"
"профиль";1;"окна профиль"
"москитные";1;"москитные сетки на окна"
"стоят";1;"сколько стоят пластиковые окна"
"дорого";1;"пластиковые окна не дорого"
"пластиковыми";1;"остекление пластиковыми окнами"
"установить";1;"установить пластиковые окна"
"арочные";1;"арочные окна"
"продам";1;"продам металлопластиковые окна"
"производители";1;"производители пластиковых окон"
"дерево";1;"пластиковые окна под дерево"
"не";1;"пластиковые окна не дорого"
"хлоридные";1;"поливинил хлоридные двери"
"фабрика";1;"фабрика окон"
"""окна";1;"""окна винница"""
"стеклопакетами";1;"окна со стеклопакетами"
"низкие";1;"пластиковые окна низкие цены"
"сайт";1;"пластиковые окна сайт"
"винница""";1;"""окна винница"""
"стеклопластиковые";1;"стеклопластиковые окна"
"акции";1;"окна пвх акции"
"сетки";1;"москитные сетки на окна"
"производителя";1;"окна от производителя"
"распродажа";1;"распродажа пластиковых окон"
"пластика";1;"окна из пластика"
"энергосберегающие";1;"энергосберегающие окна"
"доставка";1;"доставка пластиковых окон"
"недорогие";1;"недорогие пластиковые окна"
"красивые";1;"красивые окна"
"балконы";1;"металлопластиковые окна балконы"
"новые";1;"новые окна"
